username,time,content
我***6,2017-12-05 07:58:29,送给妈妈的礼物，但没想到要自己装起来，拿到手是薄薄的一片，但挺好看的
蜗***6,2018-04-02 16:23:39,朋友生日礼物，舍不得拆~_~
万***蒽,2017-04-20 08:40:26,很精美 ?? 包装超好
兮***安,2018-03-07 17:24:56,买之前万般挑剔，买后习惯性好评。
b***l,2017-08-01 22:53:17,很好，朋友很喜欢
片***布,2017-11-27 18:14:10,比想象中小。做书签很大的。如其他买家所说，塑封确实掉链子。到手的时候香插从纸架里掉出来满盒乱晃。由于没拆塑封，只是目测比较精致。如此美丽的东西，包装应该稍加注意
阳***猫,2018-01-13 20:11:33,超美
s***h,2017-01-10 00:17:16,一般～还行。以后是不会回购啦。创意好，做工和质感还有待大幅度提高
凌***咩,2017-10-30 12:53:29,发货非常快，书签做的很精致
幽***绻,2017-11-21 23:39:46,挺不错的
p***5,2017-08-03 22:30:26,好
擎***x,2018-04-05 16:14:30,还可以
采***8,2018-11-21 13:01:24,此用户没有填写评论!
y***0,2017-12-23 10:35:29,包装的挺严实的。非常好。金亮亮的。
t***n,2017-07-15 14:03:49,有设计感  非常满意
0***带,2018-04-19 17:57:35,很有设计感，做工精美，一物多用，太喜欢了。
文***藏,2017-07-14 08:44:10,最美没有之一！精致玲珑！真的很美！
浮***暖,2017-05-14 12:00:20,很好看
t***7,2017-12-26 17:04:37,做工很不错，看起来很美！
了***6,2018-03-18 18:06:03,十分令我震撼，送朋友的，真的是被震撼到了，感受到了文化的伟大
小***子,2017-01-04 12:18:17,包装很仔细，谢谢卖家的小礼物
c***8,2018-03-02 11:19:09,不错，仔细看过去还是很精致的，好东西，没看规格，比预期的小一点，还有说是铜镀金的，但是表面是磨砂的感觉，如果表面是亮面金的感觉，在灯光下可能就更好看。
啊***妞,2017-11-30 11:59:24,很喜欢
t***2,2017-05-18 08:02:30,对方收到了 说很喜欢
落***醺,2017-09-22 16:25:44,客服小姐姐人很好。因为要的急，帮忙换了顺丰快递。但是，收到的实物中间部分稍微有点不知道是污渍还是瑕疵的东西。因为要送人也不能拆掉塑料纸确认，而且也来不及换一个了&hellip;&hellip;总之，还是希望下次可以检查好商品再发货吧。
其***恼,2017-12-09 13:18:09,这个好精致，很好看
崽***胖,2018-03-03 20:45:06,此用户没有填写评论!
h***2,2017-11-21 00:26:14,很美丽，拗造型需要一点功夫
t***5,2018-01-31 22:37:44,很好
密***蛋,2018-06-04 10:43:49,故宫天猫店的东西属于高大上那类的，淘宝店那边比较萌。这边商品包装大气华贵，关注很久的一花一世界香插终于到货了，趁着活动赶紧剁手。胸针凑免运费的，做工也不错。
d***3,2018-03-09 23:10:25,好看
n***8,2018-01-11 20:51:15,好看的很～送妈妈都不舍得用～
喵***g,2017-05-13 14:22:06,塑料膜包的有点牵强 东西还不错 送给同事的结婚小礼物
天***脉,2017-12-10 22:57:25,好精致，送人的。
晓***a,2017-01-10 08:13:09,很精致
贝***宝,2018-04-09 23:08:57,很漂亮
麦***晓,2018-06-05 19:42:19,很漂亮
w***d,2018-03-13 10:58:43,很美，不知道质量如何
c***x,2018-04-05 12:06:17,不错
h***酱,2018-04-21 16:59:11,很喜欢 很有意境
t***2,2017-05-18 08:02:18,对方收到了 说很喜欢
又***冬,2018-04-09 17:34:09,物流快，包装也大气，喜欢～
w***y,2017-06-07 09:37:17,特别美丽，看着这个小物件儿，能发呆好一会，喜欢?
薄***菇,2017-05-11 12:37:29,很精致很好看
波***狮,2017-11-18 00:17:27,很美
王***子,2018-02-22 23:10:51,此用户没有填写评论!
s***1,2017-06-29 09:05:25,故宫出品必是精品
c***o,2018-01-30 19:44:16,精致
虎***甲,2018-03-23 16:16:02,精致美观小贵
木***c,2016-12-23 16:37:43,很美
欢***凯,2017-02-10 17:11:39,很好。
拉***米,2017-12-09 14:45:09,据说很精致。
恻***听,2018-04-03 09:57:08,非常有创意的一款产品，设计精美、漂亮。
米***诺,2018-03-07 12:57:35,好看的 物流也很快 特别美丽 一花一世界 寓意也好
小***光,2017-11-23 14:57:04,喜欢了！特别精美！准备送我爹了！
云***子,2018-03-14 12:42:11,多用途，非常漂亮，适合买来送给小姑娘
x***9,2018-04-01 17:39:26,此用户没有填写评论!
z***y,2017-11-22 20:00:00,双十一折扣挺优惠。做为礼品送人很好！
乐***8,2017-12-20 18:28:37,精致
向***敏,2017-11-21 09:58:23,故宫出品，确实精品。很精致。
三***安,2018-03-26 16:46:00,很精美
c***9,2018-01-31 00:08:07,很漂亮的书签，和想象中一模一样！
s***8,2017-02-17 18:50:57,很美，不舍得拆~
i***i,2017-05-28 20:25:44,此用户没有填写评论!
幻***月,2018-03-12 20:02:18,东西好精致，有点不忍心用了。
t***6,2018-03-14 15:30:56,超级棒≧?≦可以一物三用~造型很漂亮~
e***n,2018-01-15 13:52:08,好
粉***子,2017-12-09 21:25:47,这个真没拍的好看
倾***4,2018-01-09 09:28:09,很漂亮
t***神,2017-09-15 19:12:46,东西比较简单，包装也简单，不过看着还可以
j***2,2017-09-11 20:01:54,送人的，很好
张***t,2017-06-22 17:39:27,精美
m***菜,2017-12-20 15:16:02,好没有分量，幸好颜值够了
p***t,2018-03-01 21:47:09,这个做工很精致的，最后使用下来还是点烛台比较好看！
t***9,2017-12-05 15:34:51,好评
s***e,2017-11-17 15:12:39,精致
z***l,2017-08-23 16:35:43,很漂亮，比想象的大，舍不得拆&hellip;
l***p,2017-10-14 15:56:03,好看
c***5,2017-05-18 01:14:08,就俩字&ldquo;好看&rdquo;！
白***裙,2017-11-20 10:44:27,漂亮?
小***0,2018-01-16 22:54:19,物流太差劲，服了，送好几天不送
i***8,2018-03-28 15:36:06,买个朋友作为生日礼物，美美哒
m***熊,2017-02-06 16:06:29,好看，很漂亮
m***c,2017-06-19 18:44:29,谢谢，发货及时，送给老外的礼品
i***g,2016-12-28 12:49:18,颜色和想象中不一样，可惜了
y***y,2017-06-01 21:02:40,真的很惊艳！故宫团队迷妹一枚！最喜欢这种兼具创意、美丽、与意义的物品了！！！
天***夜,2017-06-13 17:20:34,物流很快，东西很有质感，价格有点小贵
龟***力,2017-12-21 10:10:16,包装破了&hellip;拿来送人的，哎。
e***s,2017-12-12 13:45:18,挺好的  挺好看   不過未拆封的時候   香插在裡面沒有固定好   經常晃來晃去   送人有點尷尬
g***5,2017-11-19 19:56:47,东西挺好的，快递也很好，只是双十一那天看满399或者前多少名有赠品小本子，一单一千多，结果到货也没有，不开心
开***8,2017-11-29 22:29:37,包装简单了点，但东西本身还是很精美的，好评！
王***s,2017-11-22 07:48:47,很漂亮
